Player,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
AJ Lawson,6.56,179.2,6.56,81,30,14.2,8.69,16.5,0.528,0.494,1061,7.4,13.9,2.3,0.7,13.3,24.4,0.116,4.3,,,1
Aaron Henry,6.5,209.6,6.9,97,27.2,10,11.52,16.2,0.531,0.501,968,9.3,18.6,1.9,2.9,17.3,20.9,0.124,6.7,,,1
Aaron Wiggins,6.42,190,6.81,96,28.2,11,10.86,16.3,0.525,0.5,1001,9.5,11.9,1.9,1.5,12.1,22.3,0.129,6.1,,,1
Austin Reaves,6.48,197.2,6.52,122,24.5,10.8,6.98,19,0.571,0.503,1308,8.5,20.1,1.6,1.3,15.3,22.9,0.157,5.9,,,1
Ayo Dosunmu,6.42,194.4,6.85,90,33.2,16.7,10.9,20.2,0.548,0.516,1472,8.3,24.2,1.9,0.7,15.2,26.7,0.154,6.9,,1,
Brandon Boston Jr.,6.58,188,6.9,25,30.4,11.5,11.49,13.2,0.447,0.407,276,8,11.1,2.5,0.5,10.1,23,0.087,3.1,,,1
Cade Cunningham,6.67,220,7.08,27,35.4,20.1,9.78,21.6,0.574,0.515,518,9.6,20.4,2.5,2.3,18.7,29.1,0.166,8.3,,1,
Cam Thomas,6.33,210,6.51,29,34,23,9.14,24,0.553,0.474,600,5.2,8.3,1.4,0.7,7.5,31.6,0.183,6.3,,,1
Carlik Jones,6.08,173.6,6.42,118,33.2,15.9,-0.71,23.1,0.54,0.489,1938,8.5,30.4,2.5,0.6,13,26.8,0.183,4.7,,1,
Charles Bassey,6.85,230.2,7.25,72,30.5,15.9,0.81,28.8,0.648,0.616,1056,19.9,6,1.2,9.4,17.1,24.5,0.216,6.6,1,,
Chris Duarte,6.5,190,6.58,54,32,14.9,9.37,23.9,0.593,0.562,751,9.9,13.2,3.4,2.5,13.1,23.8,0.19,9.9,,,1
Corey Kispert,6.6,223.8,6.58,137,27.4,11.6,4.16,18.5,0.626,0.601,1444,8.4,7.9,1.3,1.3,10.1,18.2,0.19,7.1,,,1
DJ Steward,6.15,162.2,6.58,24,30.8,13,8.33,17.4,0.538,0.508,299,7.4,13.8,2,2,14.2,22.8,0.116,4.5,,1,
David Duke Jr.,6.46,203.6,6.73,91,30.8,11.5,7.91,14.5,0.512,0.46,1061,7.7,21.6,2.1,1.2,17.8,22.2,0.104,3.3,,,1
David Johnson,6.4,202.8,6.88,46,23.9,8.9,8.23,15.7,0.512,0.494,440,9.6,25.5,2.1,1.3,21.8,24.1,0.108,4.7,,,1
Davion Mitchell,6.1,202.4,6.35,94,27.1,9,7.94,15.3,0.559,0.542,896,4.5,23.5,2.7,1,19.1,18,0.148,5.6,,1,
Day'Ron Sharpe,6.92,265,7,29,19.2,9.5,9.52,25.4,0.521,0.519,281,20.9,15.4,2.3,5.1,17.8,26.3,0.169,7.5,1,,
Duane Washington Jr.,6.31,196.8,6.65,94,24.4,11.4,11.14,15.5,0.527,0.497,976,6.8,15.6,0.9,0.2,12.2,26.3,0.111,4.6,,,1
Evan Mobley,7,210,7.33,33,33.9,16.4,10.65,29.1,0.624,0.595,532,14.5,14.1,1.4,8.8,14.6,22.8,0.248,13.7,1,,
Franz Wagner,6.75,220,7,55,31.2,12,11.21,19.5,0.577,0.539,626,11.2,11.8,2.3,2.5,11.7,19.7,0.174,9.4,,,1
Greg Brown III,6.71,206.4,7.02,26,20.6,9.3,9.36,15.9,0.535,0.497,220,16.8,3.8,1.6,5,20.9,26.9,0.113,2.5,1,,
Herb Jones,6.6,206.4,7.02,129,23.8,7.3,9.44,14.4,0.496,0.463,1073,10.9,16.9,3,3.2,21.8,18.9,0.102,4.1,,,1
Isaiah Jackson,6.83,206,7.17,25,20.8,8.4,11.49,25.3,0.587,0.54,208,17.3,7.4,2.1,12.7,17.5,20.5,0.187,8.3,1,,
Isaiah Livers,6.6,231.8,6.77,119,23.4,8.3,10.59,17.2,0.604,0.575,907,9.5,7.3,1.3,2.2,9.9,17.3,0.169,7.8,,,1
