Player,NBABPM,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Ben Simmons,3.7,6.92,240.0,7.2,33,34.9,19.2,7.0,29.0,0.6,0.561,674,18.2,27.4,3.1,2.5,17.4,26.4,0.207,10.3,0,1,0
Brandon Ingram,-0.7,6.67,190.0,6.95,36,34.6,17.3,10.59,22.5,0.552,0.525,591,10.8,11.4,1.9,3.6,11.3,25.5,0.157,8.0,0,0,1
Jaylen Brown,-0.4,6.56,222.0,6.98,34,27.6,14.6,7.87,17.6,0.518,0.471,476,10.8,15.3,1.7,2.2,17.9,31.4,0.117,3.6,0,0,1
Kris Dunn,-1.9,6.35,205.0,6.79,95,31.5,12.8,8.09,20.7,0.531,0.488,1347,9.3,40.3,4.1,1.4,21.6,24.6,0.144,8.2,0,1,0
Buddy Hield,0.4,6.42,212.0,6.77,132,31.7,17.4,9.28,22.4,0.584,0.548,2091,8.7,12.9,2.3,0.9,12.7,26.6,0.177,9.4,0,0,1
Jamal Murray,0.2,6.25,215.0,6.53,36,35.2,20.0,8.84,22.7,0.59,0.559,649,8.2,12.1,1.6,0.9,12.1,27.3,0.193,9.5,0,1,0
Marquese Chriss,-2.3,6.83,233.0,7.02,34,24.9,13.7,8.12,21.6,0.585,0.561,427,10.7,6.3,1.9,5.8,14.7,24.1,0.148,4.9,1,0,0
Jakob Poeltl,0.8,7.08,239.0,7.23,70,26.9,13.3,8.1,28.4,0.653,0.658,901,17.7,10.8,1.1,6.5,15.3,23.8,0.233,9.3,1,0,0
Domantas Sabonis,1.3,6.92,240.0,7.2,74,26.6,13.5,4.67,27.4,0.662,0.636,971,20.1,9.7,1.2,2.2,16.6,23.9,0.249,7.1,1,0,0
Taurean Prince,-1.9,6.65,220.0,6.96,129,20.2,10.2,9.08,21.8,0.557,0.524,1200,12.3,12.1,2.9,2.7,15.7,27.3,0.165,7.4,0,0,1
Denzel Valentine,-1.9,6.48,210.0,6.9,144,29.0,11.4,9.21,20.4,0.569,0.544,1754,12.0,29.5,1.9,1.1,18.0,22.1,0.18,9.2,0,0,1
Malik Beasley,-1.1,6.38,190.0,6.58,34,29.8,15.6,8.16,20.8,0.583,0.541,483,10.1,9.8,1.8,0.6,11.5,24.2,0.158,6.2,0,0,1
Caris LeVert,-0.4,6.58,191.0,6.83,103,26.4,10.4,9.3,19.3,0.552,0.514,1067,8.5,21.0,2.3,0.9,12.3,22.8,0.147,6.8,0,0,1
DeAndre' Bembry,-2.7,6.48,207.0,6.77,101,36.1,15.7,4.2,19.8,0.528,0.504,1582,10.4,22.1,2.4,2.4,14.2,24.9,0.14,6.0,0,0,1
Pascal Siakam,1.2,6.79,227.0,7.27,68,32.7,16.6,-3.6,29.0,0.586,0.553,1078,17.4,11.1,1.7,6.2,12.0,25.4,0.247,6.9,1,0,0
Skal Labissière,-2.3,6.98,216.0,7.21,36,15.8,6.6,8.84,18.6,0.54,0.516,214,11.1,3.6,0.9,10.3,13.1,22.2,0.141,2.6,1,0,0
Dejounte Murray,0.2,6.33,180.0,6.61,34,33.5,16.1,8.12,16.8,0.485,0.451,565,8.8,25.6,2.8,0.8,16.3,25.8,0.099,3.6,0,1,0
